TOTAL_QUANTITY,PRACTICE_CODE,ITEMS,CHEMICAL_SUBSTANCE_BNF_DESCR,BNF_CHAPTER_PLUS_CODE,POSTCODE,YEAR_MONTH,NIC,ADQUSAGE,PRACTICE_NAME,ACTUAL_COST,BNF_DESCRIPTION,QUANTITY,PRACTICE_LATITUDE,PRACTICE_LONGITUDE
504,F84055,3,Metformin hydrochloride,06: Endocrine System,E3 5TW,23-Jul,11.25,285.6,THE GROVE ROAD SURGERY,10.5762,Metformin 850mg tablets,168,51.52979,-0.03887
2688,F84079,12,Metformin hydrochloride,06: Endocrine System,E1W 2RL,23-Jul,79.68,896,THE WAPPING GROUP PRACTICE,74.793,Metformin 500mg modified-release tablets,224,51.50533401,-0.058222367
1008,F84079,9,Metformin hydrochloride,06: Endocrine System,E1W 2RL,23-Jul,29.88,336,THE WAPPING GROUP PRACTICE,28.10317,Metformin 500mg modified-release tablets,112,51.50533401,-0.058222367
616,F84079,11,Metformin hydrochloride,06: Endocrine System,E1W 2RL,23-Jul,17.38,205.33333,THE WAPPING GROUP PRACTICE,16.41798,Metformin 500mg tablets,56,51.50533401,-0.058222367
784,F84079,7,Metformin hydrochloride,06: Endocrine System,E1W 2RL,23-Jul,31.5,522.66667,THE WAPPING GROUP PRACTICE,29.59599,Metformin 1g modified-release tablets,112,51.50533401,-0.058222367
56,F84031,1,Metformin hydrochloride,06: Endocrine System,E1 0LS,23-Jul,109.14,37.33333,THE JUBILEE STREET PRACTICE LTD,102.25471,Metformin 1g tablets,56,51.5135999,-0.05055
84,F84012,1,Metformin hydrochloride,06: Endocrine System,E1 1BU,23-Jul,2.49,28,ALBION HEALTH CENTRE,2.44503,Metformin 500mg modified-release tablets,84,51.51994993,-0.057492667
56,F84733,1,Metformin hydrochloride,06: Endocrine System,E1 6PU,23-Jul,1.58,18.66667,HEALTH E1,1.49254,Metformin 500mg tablets,56,51.51840149,-0.071586891
168,F84051,1,Metformin hydrochloride,06: Endocrine System,E2 7QU,23-Jul,7.44,56,STROUTS PLACE MEDICAL CENTRE,6.98219,Sukkarto SR 500mg tablets,168,51.52948,-0.0741499
252,F84034,3,Metformin hydrochloride,06: Endocrine System,E3 5ED,23-Jul,7.47,84,ST.STEPHENS HEALTH CENTRE,7.33509,Metformin 500mg modified-release tablets,84,51.5321726,-0.03100495
